team,season,medal,count
Angelita,Summer,Gold,12
Bahamas,Summer,Gold,12
Devon and Somerset Wanderers,Summer,Gold,12
Serbia and Montenegro,Summer,Gold,12
Winnipeg Shamrocks-1,Summer,Gold,12
England-1,Summer,Gold,11
Llanoria,Summer,Gold,11
Upton Park FC,Summer,Gold,11
Hera-1,Summer,Gold,10
Magda IX,Summer,Gold,10
Western Golf Association-1,Summer,Gold,10
Atlanta,Summer,Gold,9
Estonia,Summer,Gold,9
Heira II,Summer,Gold,9
Ireland,Summer,Gold,9
Thailand,Summer,Gold,9
Uzbekistan,Summer,Gold,9
Bucintoro Venezia,Summer,Gold,8
Georgia,Summer,Gold,8
Kitty-1,Summer,Gold,8
London City Police-1,Summer,Gold,8
Azerbaijan,Summer,Gold,7
Egypt,Summer,Gold,7
Eleda,Summer,Gold,7
Indonesia,Summer,Gold,7
"Marinai della nave da guerra ""Varese""",Summer,Gold,7
Mosk II,Summer,Gold,7
New York Athletic Club-1,Summer,Gold,7
"Osborne Swimming Club, Manchester",Summer,Gold,7
Trinidad and Tobago,Summer,Gold,7
Brazil-1,Summer,Gold,6
Denmark/Sweden,Summer,Gold,6
Gyrinus-1,Summer,Gold,6
Italia,Summer,Gold,6
L'Aile VI,Summer,Gold,6
Lithuania,Summer,Gold,6
Morocco,Summer,Gold,6
Olle,Summer,Gold,6
Pan,Summer,Gold,6
"Philadelphia Turngemeinde, Philadelphia",Summer,Gold,6
Scotia,Summer,Gold,6
Slovenia,Summer,Gold,6
South Korea-1,Summer,Gold,6
United States-2,Summer,Gold,6
Algeria,Summer,Gold,5
Amateur Athletic Association,Summer,Gold,5
Bera,Summer,Gold,5
Cercle de l'Aviron Roubaix-4,Summer,Gold,5
Cobweb-1,Summer,Gold,5
Colombia,Summer,Gold,5
Foxhunters Hurlingham,Summer,Gold,5
"Germania Ruder Club, Hamburg-2",Summer,Gold,5
Irene,Summer,Gold,5
Lalage,Summer,Gold,5
Ludwigshafener Ruderverein,Summer,Gold,5
Milwaukee Athletic Club-1,Summer,Gold,5
New York Athletic Club,Summer,Gold,5
Nykjbings paa Falster,Summer,Gold,5
Taifun,Summer,Gold,5
Ancora,Summer,Gold,4
Aschenbrodel,Summer,Gold,4
Bissbi,Summer,Gold,4
Century Boat Club-1,Summer,Gold,4
Cincinnati Archers,Summer,Gold,4
Complex II,Summer,Gold,4
Deutscher Schwimm Verband Berlin,Summer,Gold,4
Germany-1,Summer,Gold,4
Great Britain-2,Summer,Gold,4
Heroine,Summer,Gold,4
Indonesia-1,Summer,Gold,4
Luxembourg,Summer,Gold,4
Magdalen College Boat Club-1,Summer,Gold,4
New York Athletic Club #1-1,Summer,Gold,4
Norna,Summer,Gold,4
Portugal,Summer,Gold,4
Potomac Archers,Summer,Gold,4
Roehampton-1,Summer,Gold,4
Sif,Summer,Gold,4
Sildra-1,Summer,Gold,4
South Korea-2,Summer,Gold,4
Barrenjoey,Summer,Gold,3
Beatrijs III-1,Summer,Gold,3
Bona Fide,Summer,Gold,3
Bucintoro Venezia-1,Summer,Gold,3
Chile,Summer,Gold,3
Chinese Taipei,Summer,Gold,3
Dominican Republic,Summer,Gold,3
Dormy-1,Summer,Gold,3
Edelweiss II-1,Summer,Gold,3
Elisabeth V,Summer,Gold,3
Jo,Summer,Gold,3
Kullan,Summer,Gold,3
Latvia,Summer,Gold,3
Lerina,Summer,Gold,3
Mac Miche,Summer,Gold,3
Minerva Amsterdam,Summer,Gold,3
Minotaur,Summer,Gold,3
Nirefs,Summer,Gold,3
Oranje,Summer,Gold,3
Rush V,Summer,Gold,3
Slaghoken II,Summer,Gold,3
Tunisia,Summer,Gold,3
White Lady,Summer,Gold,3
Armenia,Summer,Gold,2
Atalanta Boat Club-1,Summer,Gold,2
Australia-1,Summer,Gold,2
East Germany-1,Summer,Gold,2
Esterel-1,Summer,Gold,2
France-1,Summer,Gold,2
France-3,Summer,Gold,2
Gem,Summer,Gold,2
Great Britain/Germany,Summer,Gold,2
Hilarius,Summer,Gold,2
Jest,Summer,Gold,2
Jupiter,Summer,Gold,2
Kathleen,Summer,Gold,2
Leander Club #1-1,Summer,Gold,2
Merope,Summer,Gold,2
Mongolia,Summer,Gold,2
Pandora,Summer,Gold,2
Russia-2,Summer,Gold,2
Seawanhaka Boat Club-1,Summer,Gold,2
Sirene,Summer,Gold,2
Spain-2,Summer,Gold,2
Swift,Summer,Gold,2
Tornado,Summer,Gold,2
Uganda,Summer,Gold,2
Venezuela,Summer,Gold,2
Wannsee,Summer,Gold,2
Baby-1,Summer,Gold,1
Bahrain,Summer,Gold,1
Belgium-1,Summer,Gold,1
Bonaparte,Summer,Gold,1
Burundi,Summer,Gold,1
Camille,Summer,Gold,1
Carabinier-15,Summer,Gold,1
Cicely-1,Summer,Gold,1
Costa Rica,Summer,Gold,1
Cote d'Ivoire,Summer,Gold,1
Ecuador,Summer,Gold,1
Elvis Va,Summer,Gold,1
Fantlet-7,Summer,Gold,1
Femur-1,Summer,Gold,1
Grenada,Summer,Gold,1
Hong Kong,Summer,Gold,1
Individual Olympic Athletes,Summer,Gold,1
Israel,Summer,Gold,1
Jordan,Summer,Gold,1
Kosovo,Summer,Gold,1
Mozambique,Summer,Gold,1
Nrnberg,Summer,Gold,1
Panama,Summer,Gold,1
Peru,Summer,Gold,1
Puerto Rico,Summer,Gold,1
Satchmo,Summer,Gold,1
Singapore,Summer,Gold,1
Suriname,Summer,Gold,1
Syria,Summer,Gold,1
Tajikistan,Summer,Gold,1
United Arab Emirates,Summer,Gold,1
Vietnam,Summer,Gold,1
United States,Summer,Silver,1241
Soviet Union,Summer,Silver,635
Great Britain,Summer,Silver,576
Germany,Summer,Silver,513
France,Summer,Silver,485
Italy,Summer,Silver,467
Australia,Summer,Silver,450
Sweden,Summer,Silver,350
Hungary,Summer,Silver,328
China,Summer,Silver,299
Japan,Summer,Silver,285
Netherlands,Summer,Silver,283
Russia,Summer,Silver,278
East Germany,Summer,Silver,277
Spain,Summer,Silver,239
Canada,Summer,Silver,224
Denmark,Summer,Silver,218
Romania,Summer,Silver,200
South Korea,Summer,Silver,196
Poland,Summer,Silver,183
Switzerland,Summer,Silver,175
West Germany,Summer,Silver,170
Norway,Summer,Silver,165
Brazil,Summer,Silver,161
Yugoslavia,Summer,Silver,161
Belgium,Summer,Silver,157
Bulgaria,Summer,Silver,142
Czechoslovakia,Summer,Silver,142
Cuba,Summer,Silver,127
Finland,Summer,Silver,118
Austria,Summer,Silver,88
Argentina,Summer,Silver,84
Jamaica,Summer,Silver,75
Greece,Summer,Silver,70
Unified Team,Summer,Silver,61
New Zealand,Summer,Silver,55
Ukraine,Summer,Silver,51
Croatia,Summer,Silver,48
South Africa,Summer,Silver,47
Pakistan,Summer,Silver,45
Kenya,Summer,Silver,41
Belarus,Summer,Silver,40
Nigeria,Summer,Silver,30
Serbia,Summer,Silver,29
Chinese Taipei,Summer,Silver,28
Turkey,Summer,Silver,27
Mexico,Summer,Silver,26
Serbia and Montenegro,Summer,Silver,26
Kazakhstan,Summer,Silver,22
Iran,Summer,Silver,21
Royal Club Nautique de Gand,Summer,Silver,21
Czech Republic,Summer,Silver,20
India,Summer,Silver,19
Paraguay,Summer,Silver,17
"Phalainis ton Thorichtou ""Hydra""-2",Summer,Silver,17
Slovakia,Summer,Silver,17
Cornwall,Summer,Silver,15
Frankfurt Club,Summer,Silver,15
Iceland,Summer,Silver,15
Moseley Wanderers,Summer,Silver,15
North Korea,Summer,Silver,15
Montenegro,Summer,Silver,14
Peru,Summer,Silver,14
Ireland,Summer,Silver,13
USFSA,Summer,Silver,13
Azerbaijan,Summer,Silver,12
Brazil-1,Summer,Silver,12
China-1,Summer,Silver,12
England-1,Summer,Silver,12
Ireland-2,Summer,Silver,12
St. Louis Amateur Athletic Association,Summer,Silver,12
Union des Socits Franais de Sports Athletiques,Summer,Silver,12
Bahamas,Summer,Silver,11
Chicago Athletic Association-2,Summer,Silver,11
Christian Brothers' College-1,Summer,Silver,11
Indonesia,Summer,Silver,11
Latvia,Summer,Silver,11
Racing Club de France,Summer,Silver,11
Smyrna,Summer,Silver,11
Brussels Swimming and Water Polo Club,Summer,Silver,10
Erna Signe,Summer,Silver,10
Estonia,Summer,Silver,10
Great Britain-2,Summer,Silver,10
Mongolia,Summer,Silver,10
Mouchette-2,Summer,Silver,10
Trans-Mississippi Golf Association-2,Summer,Silver,10
Chile,Summer,Silver,9
Ethiopia,Summer,Silver,9
Malaysia,Summer,Silver,9
"New College, Oxford-2",Summer,Silver,9
Quand-Mme-2,Summer,Silver,9
Slovenia,Summer,Silver,9
Toronto Argonauts,Summer,Silver,9
Colombia,Summer,Silver,8
Egypt,Summer,Silver,8
Favorite-1,Summer,Silver,8
Liverpool Police Team-2,Summer,Silver,8
Omas Helliniki P. S.,Summer,Silver,8
Thailand,Summer,Silver,8
Trinidad and Tobago,Summer,Silver,8
United States-2,Summer,Silver,8
"Life boat naval ship ""Spetsai""-1",Summer,Silver,7
Lithuania,Summer,Silver,7
Nina,Summer,Silver,7
Portugal,Summer,Silver,7
Uzbekistan,Summer,Silver,7
China-2,Summer,Silver,6
Georgia,Summer,Silver,6
Great Britain-1,Summer,Silver,6
Greece-1,Summer,Silver,6
Hollandia,Summer,Silver,6
Indonesia-1,Summer,Silver,6
"New York Turnverein, New York",Summer,Silver,6
Santa Maria,Summer,Silver,6
Silja,Summer,Silver,6
South Korea-1,Summer,Silver,6
Armenia,Summer,Silver,5
Chicago Athletic Association,Summer,Silver,5
Crabe II-1,Summer,Silver,5
Djinn,Summer,Silver,5
Elisabeth X,Summer,Silver,5
Emily,Summer,Silver,5
France-1,Summer,Silver,5
Gallant,Summer,Silver,5
Gitana-2,Summer,Silver,5
Lully II,Summer,Silver,5
Lyn-2,Summer,Silver,5
Minerva Amsterdam,Summer,Silver,5
Morocco,Summer,Silver,5
Roddklubben af 1912-1,Summer,Silver,5
Sans Atout-1,Summer,Silver,5
Socit Nautique de la Basse Seine-1,Summer,Silver,5
St. Louis Southwest Turnverein #1-2,Summer,Silver,5
Thames Rowing Club,Summer,Silver,5
Tritons Lillois-2,Summer,Silver,5
Vinga-1,Summer,Silver,5
Algeria,Summer,Silver,4
Aschenbrodel,Summer,Silver,4
Australasia,Summer,Silver,4
"BLO Polo Club, Rugby",Summer,Silver,4
Cincinnati Archers,Summer,Silver,4
Club Nautique de Lyon-2,Summer,Silver,4
Czech Republic-1,Summer,Silver,4
Elsie,Summer,Silver,4
Fornebo,Summer,Silver,4
Hi-Hi,Summer,Silver,4
Hurlingham-2,Summer,Silver,4
Ireland-3,Summer,Silver,4
Leander Club-2,Summer,Silver,4
Martha-1,Summer,Silver,4
Mound City Rowing Club-2,Summer,Silver,4
Namibia,Summer,Silver,4
Singapore,Summer,Silver,4
South Korea-2,Summer,Silver,4
Sweden-2,Summer,Silver,4
Vision,Summer,Silver,4
Zimbabwe,Summer,Silver,4
Barion/Bari-2,Summer,Silver,3
Bonzo,Summer,Silver,3
Encore,Summer,Silver,3
Lerina,Summer,Silver,3
Marmi II-1,Summer,Silver,3
Mascotte,Summer,Silver,3
Moldova,Summer,Silver,3
Mutafo,Summer,Silver,3
Nurdug II,Summer,Silver,3
Philippines,Summer,Silver,3
Rose Pompon,Summer,Silver,3
Rush VII,Summer,Silver,3
Slaghoken,Summer,Silver,3
Tan-Fe-Pah,Summer,Silver,3
Tango,Summer,Silver,3
Tip,Summer,Silver,3
Tornado,Summer,Silver,3
Tunisia,Summer,Silver,3
Uganda,Summer,Silver,3
Venezuela,Summer,Silver,3
Vietnam,Summer,Silver,3
Web II,Summer,Silver,3
Zut,Summer,Silver,3
Atalanta Boat Club-2,Summer,Silver,2
Boreas-2,Summer,Silver,2
Brazil-2,Summer,Silver,2
Comanche,Summer,Silver,2
Czechoslovakia-1,Summer,Silver,2
Dominican Republic,Summer,Silver,2
Falcon IV,Summer,Silver,2
France/Great Britain,Summer,Silver,2
Germany-1,Summer,Silver,2
Glider,Summer,Silver,2
Great Britain-3,Summer,Silver,2
Hong Kong-2,Summer,Silver,2
Italy-1,Summer,Silver,2
Japan-1,Summer,Silver,2
Joy,Summer,Silver,2
Kurush II,Summer,Silver,2
Lady C,Summer,Silver,2
Leander Club #2-2,Summer,Silver,2
Lebanon,Summer,Silver,2
Luxembourg,Summer,Silver,2
Ma'Lindo,Summer,Silver,2
Malaysia-1,Summer,Silver,2
Merope III,Summer,Silver,2
Poland-1,Summer,Silver,2
Puerto Rico,Summer,Silver,2
Ravenswood Boat Club-2,Summer,Silver,2
Scamasaxe-3,Summer,Silver,2
Skum,Summer,Silver,2
Societ Nautique de la Marne-1,Summer,Silver,2
Spain-1,Summer,Silver,2
Spain-2,Summer,Silver,2
Sri Lanka,Summer,Silver,2
Sunshine,Summer,Silver,2
Sweden-1,Summer,Silver,2
Symphony,Summer,Silver,2
Tanzania,Summer,Silver,2
United States-1,Summer,Silver,2
United States/France,Summer,Silver,2
Uruguay,Summer,Silver,2
West Germany-1,Summer,Silver,2
Bahrain,Summer,Silver,1
Bohemia,Summer,Silver,1
Botswana,Summer,Silver,1
Brynhild-2,Summer,Silver,1
Burundi,Summer,Silver,1
Cameroon,Summer,Silver,1
Costa Rica,Summer,Silver,1
Cote d'Ivoire,Summer,Silver,1
Cyprus,Summer,Silver,1
Ecuador,Summer,Silver,1
England,Summer,Silver,1
Gabon,Summer,Silver,1
Ghana,Summer,Silver,1
Grenada,Summer,Silver,1
Guatemala,Summer,Silver,1
Haiti,Summer,Silver,1
Individual Olympic Athletes,Summer,Silver,1
Israel,Summer,Silver,1
Kyrgyzstan,Summer,Silver,1
Nadine,Summer,Silver,1
Netherlands Antilles,Summer,Silver,1
Niger,Summer,Silver,1
Qatar,Summer,Silver,1
Rostock,Summer,Silver,1
Salinero,Summer,Silver,1
Saudi Arabia,Summer,Silver,1
Senegal,Summer,Silver,1
Sudan,Summer,Silver,1
Sunrise,Summer,Silver,1
Syria,Summer,Silver,1
Tajikistan,Summer,Silver,1
Tonga,Summer,Silver,1
United Arab Republic,Summer,Silver,1
United States Virgin Islands,Summer,Silver,1
Zambia,Summer,Silver,1
United States,Summer,Bronze,1112
Germany,Summer,Bronze,610
Soviet Union,Summer,Bronze,596
Great Britain,Summer,Bronze,541
Australia,Summer,Bronze,504
France,Summer,Bronze,502
Italy,Summer,Bronze,425
Hungary,Summer,Bronze,363
Netherlands,Summer,Bronze,348
Japan,Summer,Bronze,333
Sweden,Summer,Bronze,330
Russia,Summer,Bronze,322
Canada,Summer,Bronze,311
Romania,Summer,Bronze,290
Poland,Summer,Bronze,242
China,Summer,Bronze,238
East Germany,Summer,Bronze,227
Finland,Summer,Bronze,200
West Germany,Summer,Bronze,188
Brazil,Summer,Bronze,185
Denmark,Summer,Bronze,162
Norway,Summer,Bronze,154
Belgium,Summer,Bronze,152
South Korea,Summer,Bronze,149
Bulgaria,Summer,Bronze,141
Spain,Summer,Bronze,135
Switzerland,Summer,Bronze,134
Cuba,Summer,Bronze,116
Czechoslovakia,Summer,Bronze,107
Ukraine,Summer,Bronze,95
Yugoslavia,Summer,Bronze,92
Argentina,Summer,Bronze,91
New Zealand,Summer,Bronze,82
Unified Team,Summer,Bronze,67
Belarus,Summer,Bronze,66
Greece,Summer,Bronze,62
Austria,Summer,Bronze,53
South Africa,Summer,Bronze,52
Mexico,Summer,Bronze,51
Lithuania,Summer,Bronze,48
Nigeria,Summer,Bronze,46
Jamaica,Summer,Bronze,44
Serbia,Summer,Bronze,41
India,Summer,Bronze,40
Croatia,Summer,Bronze,36
Pakistan,Summer,Bronze,34
North Korea,Summer,Bronze,32
Kenya,Summer,Bronze,31
Uruguay,Summer,Bronze,30
Iran,Summer,Bronze,29
Kazakhstan,Summer,Bronze,29
Turkey,Summer,Bronze,28
Czech Republic,Summer,Bronze,26
Serbia and Montenegro,Summer,Bronze,26
Azerbaijan,Summer,Bronze,25
Portugal,Summer,Bronze,24
Ethiopia,Summer,Bronze,22
Ghana,Summer,Bronze,22
Chile,Summer,Bronze,20
Estonia,Summer,Bronze,19
Chinese Taipei,Summer,Bronze,18
Georgia,Summer,Bronze,18
South Korea-1,Summer,Bronze,18
"Marinai della nave da guerra ""Varese""",Summer,Bronze,17
Trinidad and Tobago,Summer,Bronze,17
Uzbekistan,Summer,Bronze,17
Slovenia,Summer,Bronze,15
Colombia,Summer,Bronze,14
Great Britain-2,Summer,Bronze,14
Mongolia,Summer,Bronze,14
Bahamas,Summer,Bronze,13
Ireland,Summer,Bronze,13
Thailand,Summer,Bronze,13
China-2,Summer,Bronze,12
Egypt,Summer,Bronze,12
Mohawk Indians-2,Summer,Bronze,12
Morocco,Summer,Bronze,12
Slovakia,Summer,Bronze,12
St. Rose-2,Summer,Bronze,12
Missouri Athletic Club-3,Summer,Bronze,11
Scotland-3,Summer,Bronze,11
Thessalonki-1,Summer,Bronze,11
Univ. of Brussels,Summer,Bronze,11
Wales-4,Summer,Bronze,11
Bohemia,Summer,Bronze,10
United States Golf Association-3,Summer,Bronze,10
Venezuela,Summer,Bronze,10
Armenia,Summer,Bronze,9
Berliner Ruderverein von 1876-2,Summer,Bronze,9
Cambridge University Boat Club-2,Summer,Bronze,9
Indonesia,Summer,Bronze,9
Minerva Amsterdam,Summer,Bronze,9
Pistoja/Firenze,Summer,Bronze,9
Toronto Argonauts,Summer,Bronze,9
Algeria,Summer,Bronze,8
China-1,Summer,Bronze,8
K Division Metropolitan Police Team-3,Summer,Bronze,8
Pupilles de Neptune de Lille #2-1,Summer,Bronze,8
South Korea-2,Summer,Bronze,8
France-1,Summer,Bronze,7
Gallia II,Summer,Bronze,7
Heatherbell,Summer,Bronze,7
Israel,Summer,Bronze,7
Libellule de Paris,Summer,Bronze,7
"Phalainis ton Thorichtou ""Hydra""-2",Summer,Bronze,7
Philippines,Summer,Bronze,7
Tunisia,Summer,Bronze,7
Argonaut Rowing Club,Summer,Bronze,6
"Central Turnverein, Chicago",Summer,Bronze,6
Czech Republic-1,Summer,Bronze,6
Favorite Hammonia-3,Summer,Bronze,6
Germania II,Summer,Bronze,6
Puerto Rico,Summer,Bronze,6
Sylvia,Summer,Bronze,6
United States-1,Summer,Bronze,6
Western Rowing Club-3,Summer,Bronze,6
Ali-Baba II,Summer,Bronze,5
Antwerpia V,Summer,Bronze,5
Australasia,Summer,Bronze,5
Crabe II-4,Summer,Bronze,5
Gitana-2,Summer,Bronze,5
Haiti,Summer,Bronze,5
Kristiania Roklub-1,Summer,Bronze,5
Lucky Girl-1,Summer,Bronze,5
Ludwigshafener Ruder Verein-1,Summer,Bronze,5
May Be,Summer,Bronze,5
Moldova,Summer,Bronze,5
Namoussa,Summer,Bronze,5
Ormsund Roklub-2,Summer,Bronze,5
Polyteknisk Roklub-1,Summer,Bronze,5
Ralia,Summer,Bronze,5
Saudi Arabia,Summer,Bronze,5
Socit Nautique de Bayonne-2,Summer,Bronze,5
Sorais-2,Summer,Bronze,5
St. Louis Southwest Turnverein #2-3,Summer,Bronze,5
Tutti V,Summer,Bronze,5
West Indies Federation,Summer,Bronze,5
A North American Team,Summer,Bronze,4
Amstel Amsterdam,Summer,Bronze,4
"Bagatelle Polo Club, Paris",Summer,Bronze,4
Boston Archers,Summer,Bronze,4
Brazil-2,Summer,Bronze,4
Caprice,Summer,Bronze,4
France-2,Summer,Bronze,4
Germany-1,Summer,Bronze,4
Great Britain-1,Summer,Bronze,4
Great Britain-3,Summer,Bronze,4
Indonesia-1,Summer,Bronze,4
Latvia,Summer,Bronze,4
Martha-1,Summer,Bronze,4
Nina Claire-2,Summer,Bronze,4
Pupilles de Neptune de Lille-1,Summer,Bronze,4
Qatar,Summer,Bronze,4
Singapore,Summer,Bronze,4
United States-2,Summer,Bronze,4
Aphrodite,Summer,Bronze,3
Ballerina IV,Summer,Bronze,3
Bingo,Summer,Bronze,3
Bluebottle,Summer,Bronze,3
Buraddoo,Summer,Bronze,3
Gustel X,Summer,Bronze,3
Guyoni,Summer,Bronze,3
Gwendoline-2,Summer,Bronze,3
Hojwa,Summer,Bronze,3
Individual Olympic Athletes,Summer,Bronze,3
Kerstin-1,Summer,Bronze,3
Macky VI,Summer,Bronze,3
Malaysia,Summer,Bronze,3
Rowing Club Castillon-3,Summer,Bronze,3
Sarcelle-3,Summer,Bronze,3
Snap,Summer,Bronze,3
Socit Nautique de Bayonne-1,Summer,Bronze,3
Socit Nautique de la Basse Seine-1,Summer,Bronze,3
Stella-2,Summer,Bronze,3
Venilia,Summer,Bronze,3
Willem-Six,Summer,Bronze,3
Afghanistan,Summer,Bronze,2
Australia-1,Summer,Bronze,2
Australia/Great Britain,Summer,Bronze,2
Bem II,Summer,Bronze,2
Berliner Ruderclub,Summer,Bronze,2
Bohemia/Great Britain,Summer,Bronze,2
Brazil-1,Summer,Bronze,2
Canada-1,Summer,Bronze,2
Chuckles,Summer,Bronze,2
Costa Rica,Summer,Bronze,2
Denmark-1,Summer,Bronze,2
Denmark-2,Summer,Bronze,2
Dominican Republic,Summer,Bronze,2
Espadarte,Summer,Bronze,2
Ethnikos Gymnastikos Syllogos,Summer,Bronze,2
France-3,Summer,Bronze,2
Gem IV,Summer,Bronze,2
Greece-2,Summer,Bronze,2
Humbug V,Summer,Bronze,2
Iceland,Summer,Bronze,2
Independent Rowing Club-3,Summer,Bronze,2
Kuwait,Summer,Bronze,2
Kyrgyzstan,Summer,Bronze,2
Latvia-1,Summer,Bronze,2
Lebanon,Summer,Bronze,2
Malaysia-2,Summer,Bronze,2
Margaret,Summer,Bronze,2
Netherlands-1,Summer,Bronze,2
North Korea-1,Summer,Bronze,2
Panama,Summer,Bronze,2
Russia-1,Summer,Bronze,2
Scamasaxe-2,Summer,Bronze,2
Shrew II,Summer,Bronze,2
Starita,Summer,Bronze,2
Sweden-3,Summer,Bronze,2
Swedish Star,Summer,Bronze,2
Switzerland-2,Summer,Bronze,2
Tajikistan,Summer,Bronze,2
Uganda,Summer,Bronze,2
United States-3,Summer,Bronze,2
United States-4,Summer,Bronze,2
United States/Great Britain,Summer,Bronze,2
Widgeon,Summer,Bronze,2
Baby-1,Summer,Bronze,1
Bahrain,Summer,Bronze,1
Barbados,Summer,Bronze,1
Bermuda,Summer,Bronze,1
Cameroon,Summer,Bronze,1
Clearwater,Summer,Bronze,1
Cote d'Ivoire,Summer,Bronze,1
Digby,Summer,Bronze,1
Djibouti,Summer,Bronze,1
Don Schufro,Summer,Bronze,1
Eritrea,Summer,Bronze,1
Formosa,Summer,Bronze,1
Frimousse,Summer,Bronze,1
Guyana,Summer,Bronze,1
Hong Kong,Summer,Bronze,1
Iraq,Summer,Bronze,1
Laurea-1,Summer,Bronze,1
Macedonia,Summer,Bronze,1
Mauritius,Summer,Bronze,1
Mignon-3,Summer,Bronze,1
Monaco,Summer,Bronze,1
Mozambique,Summer,Bronze,1
Niger,Summer,Bronze,1
Potsdam,Summer,Bronze,1
Suriname,Summer,Bronze,1
Syria,Summer,Bronze,1
Togo,Summer,Bronze,1
Turquoise-1,Summer,Bronze,1
United Arab Emirates,Summer,Bronze,1
United Arab Republic,Summer,Bronze,1
Zambia,Summer,Bronze,1
Zimbabwe,Summer,Bronze,1
Canada,Winter,Gold,289
Soviet Union,Winter,Gold,228
Norway,Winter,Gold,151
United States,Winter,Gold,141
Sweden,Winter,Gold,125
Germany,Winter,Gold,115
Russia,Winter,Gold,72
Austria,Winter,Gold,67
Finland,Winter,Gold,66
South Korea,Winter,Gold,50
Switzerland,Winter,Gold,48
Italy,Winter,Gold,43
Netherlands,Winter,Gold,42
Great Britain,Winter,Gold,38
France,Winter,Gold,34
East Germany,Winter,Gold,32
Unified Team,Winter,Gold,31
Czech Republic,Winter,Gold,27
Germany-1,Winter,Gold,24
East Germany-1,Winter,Gold,22
Russia-1,Winter,Gold,22
Soviet Union-1,Winter,Gold,22
Switzerland-1,Winter,Gold,20
Japan,Winter,Gold,17
Canada-1,Winter,Gold,16
China,Winter,Gold,14
Germany-2,Winter,Gold,14
Italy-1,Winter,Gold,14
United States-1,Winter,Gold,14
Austria-1,Winter,Gold,12
United States-2,Winter,Gold,11
West Germany,Winter,Gold,11
Switzerland-2,Winter,Gold,8
India,Winter,Gold,7
Australia,Winter,Gold,6
Belarus,Winter,Gold,6
Poland,Winter,Gold,6
Ukraine,Winter,Gold,5
Croatia,Winter,Gold,4
East Germany-2,Winter,Gold,4
Estonia,Winter,Gold,4
Great Britain-1,Winter,Gold,4
Unified Team-1,Winter,Gold,4
Belgium,Winter,Gold,2
China-1,Winter,Gold,2
Czechoslovakia,Winter,Gold,2
France-1,Winter,Gold,2
Liechtenstein,Winter,Gold,2
Slovakia,Winter,Gold,2
Slovenia,Winter,Gold,2
West Germany-1,Winter,Gold,2
West Germany-2,Winter,Gold,2
Bulgaria,Winter,Gold,1
Kazakhstan,Winter,Gold,1
Nepal,Winter,Gold,1
Spain,Winter,Gold,1
Uzbekistan,Winter,Gold,1
United States,Winter,Silver,271
Canada,Winter,Silver,189
Norway,Winter,Silver,165
Finland,Winter,Silver,145
Sweden,Winter,Silver,126
Germany,Winter,Silver,114
Czechoslovakia,Winter,Silver,81
Soviet Union,Winter,Silver,81
Austria,Winter,Silver,80
Russia,Winter,Silver,73
Italy,Winter,Silver,41
Netherlands,Winter,Silver,38
Switzerland,Winter,Silver,38
France,Winter,Silver,33
East Germany,Winter,Silver,32
United States-1,Winter,Silver,31
China,Winter,Silver,26
South Korea,Winter,Silver,26
Japan,Winter,Silver,22
Switzerland-1,Winter,Silver,22
Germany-1,Winter,Silver,18
Austria-1,Winter,Silver,16
West Germany,Winter,Silver,14
