_id,HB,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,IncidencesAgeUnder5,IncidencesAge5To9,IncidencesAge10To14,IncidencesAge15To19,IncidencesAge20To24,IncidencesAge25To29,IncidencesAge30To34,IncidencesAge35To39,IncidencesAge40To44,IncidencesAge45To49,IncidencesAge50To54,IncidencesAge55To59,IncidencesAge60To64,IncidencesAge65To69,IncidencesAge70To74,IncidencesAge75To79,IncidencesAge80To84,IncidencesAge85AndOver,IncidencesAllAges,IncidenceRateAgeUnder5,IncidenceRateAge5To9,IncidenceRateAge10To14,IncidenceRateAge15To19,IncidenceRateAge20To24,IncidenceRateAge25To29,IncidenceRateAge30To34,IncidenceRateAge35To39,IncidenceRateAge40To44,IncidenceRateAge45To49,IncidenceRateAge50To54,IncidenceRateAge55To59,IncidenceRateAge60To64,IncidenceRateAge65To69,IncidenceRateAge70To74,IncidenceRateAge75To79,IncidenceRateAge80To84,IncidenceRateAge85AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedIncidenceRatio,SIRLower95pcConfidenceInterval,SIRUpper95pcConfidenceInterval
11,S08000015,"C40-C41, C47+C49",Bone and connective tissue,Male, ,2016-2020,1,1,0,0,0,0,0,0,0,1,3,4,5,3,4,8,4,2,36,2.174243907,1.964096319,0,0,0,0,0,0,0,1.661819693,4.415335933,5.892838728,8.10674968,5.1198034,7.666653889,22.40708064,16.96712619,11.97461382,4.063764988,2.846211038,5.625963675,3.831652852,2.667142314, ,5.203800261, ,2.013485101,1.249313181, ,2.957078763, ,95.27382814,66.72861793,131.8991374
12,S08000015,"C40-C41, C47+C49",Bone and connective tissue,Female, ,2016-2020,1,1,1,3,3,0,1,0,2,3,2,2,2,6,5,6,2,2,42,2.321747812,2.054020746,2.050861362,6.258866728,5.97133758,0,1.913765717,0,3.688335639,4.387889425,2.614003215,2.710945442,2.973933473,9.451051429,8.549931601,13.86289596,6.303779116,6.572893388,4.365396129,3.146193555,5.900747395,4.097425634,2.941277896, ,5.442232487, ,3.324631608,2.152290694, ,4.747786808, ,136.2010913,98.16176651,184.1043083
13,S08000015,C47+C49,Connective tissue,All,d,2016-2020,2,2,0,1,3,0,1,0,0,3,3,4,5,8,8,12,5,4,61,2.245576215,2.00805229,0,1.021575678,2.898802794,0,1.01234043,0,0,2.333813062,2.076756936,2.823781891,3.878133532,6.553026269,7.229743163,15.19295047,9.04126433,8.487163166,3.300883663,2.524914451,4.240123156,3.095721257,2.357103338, ,3.933468657, ,1.969111337,1.357264563, ,2.693006291, ,117.5907387,89.9475976,151.0502232
14,S08000015,C47+C49,Connective tissue,Male, ,2016-2020,1,1,0,0,0,0,0,0,0,1,3,2,3,3,3,7,4,2,30,2.174243907,1.964096319,0,0,0,0,0,0,0,1.661819693,4.415335933,2.946419364,4.864049808,5.1198034,5.749990417,19.60619556,16.96712619,11.97461382,3.386470823,2.284837644,4.83439767,3.237705025,2.167828675, ,4.51876799, ,1.699578212,0.983247197, ,2.608720644, ,104.5773667,70.55791015,149.2906935
15,S08000015,C47+C49,Connective tissue,Female, ,2016-2020,1,1,0,1,3,0,1,0,0,2,0,2,2,5,5,5,1,2,31,2.321747812,2.054020746,0,2.086288909,5.97133758,0,1.913765717,0,0,2.925259617,0,2.710945442,2.973933473,7.875876191,8.549931601,11.5524133,3.151889558,6.572893388,3.222078095,2.189245741,4.573482661,2.95373749,1.998666133, ,4.092383884, ,2.238644462,1.306330874, ,3.417955249, ,133.6901972,90.83600275,189.7625634
16,S08000015,C71,Malignant brain cancer,All,d,2016-2020,1,4,3,3,1,4,6,5,2,5,16,13,14,24,19,24,19,9,172,1.122788107,4.016104579,3.026848143,3.064727035,0.966267598,3.92368434,6.074042579,5.080629592,1.961515074,3.889688436,11.07603699,9.177291146,10.85877389,19.65907881,17.17064001,30.38590094,34.35680446,19.09611712,9.307409672,7.968396267,10.80703905,8.796289176,7.506066744, ,10.18733196, ,5.383599651,4.41779049, ,6.443463039, ,106.2707538,90.98207858,123.3933207
17,S08000015,C71,Malignant brain cancer,Male, ,2016-2020,1,2,1,2,1,2,1,4,1,2,5,6,9,12,13,14,10,6,92,2.174243907,3.928192639,1.985978988,4.0035231,1.877899007,3.957496488,2.149243466,8.661195678,2.094811153,3.323639385,7.358893222,8.839258092,14.59214942,20.4792136,24.91662514,39.21239112,42.41781548,35.92384146,10.38517719,8.371918567,12.73649792,10.09999262,8.10222165, ,12.31460345, ,5.835090809,4.425568794, ,7.436490659, ,103.1641261,83.16484611,126.5216426
18,S08000015,C71,Malignant brain cancer,Female, ,2016-2020,0,2,2,1,0,2,5,1,1,3,11,7,5,12,6,10,9,3,80,0,4.108041491,4.101722724,2.086288909,0,3.890445067,9.568828584,1.914608463,1.844167819,4.387889425,14.37701768,9.488309048,7.434833683,18.90210286,10.25991792,23.1048266,28.36700602,9.859340082,8.315040245,6.59330978,10.34878735,7.492585736,5.926012662, ,9.24011195, ,4.932108493,3.670883839, ,6.376708469, ,110.0829788,87.28895586,137.0077962
19,S08000015,"C70-C72, C75.1-C75.3","Malig brain ca (incl pit. gland, cranio. duct, pineal gland)",All,d,2016-2020,1,4,3,3,1,4,6,5,2,5,16,14,14,24,19,25,20,9,175,1.122788107,4.016104579,3.026848143,3.064727035,0.966267598,3.92368434,6.074042579,5.080629592,1.961515074,3.889688436,11.07603699,9.883236619,10.85877389,19.65907881,17.17064001,31.65198015,36.16505732,19.09611712,9.469748213,8.118651117,10.98142731,8.939584812,7.639325278, ,10.34052837, ,5.434947994,4.466748819, ,6.496706039, ,104.0416458,89.1974955,120.6500684
20,S08000015,"C70-C72, C75.1-C75.3","Malig brain ca (incl pit. gland, cranio. duct, pineal gland)",Male, ,2016-2020,1,2,1,2,1,2,1,4,1,2,5,7,9,12,13,15,10,6,94,2.174243907,3.928192639,1.985978988,4.0035231,1.877899007,3.957496488,2.149243466,8.661195678,2.094811153,3.323639385,7.358893222,10.31246777,14.59214942,20.4792136,24.91662514,42.0132762,42.41781548,35.92384146,10.61094191,8.574721169,12.98510559,10.30778665,8.290102477, ,12.54193198, ,5.922028047,4.506324406, ,7.52815809, ,101.5296407,82.04628453,124.246567
21,S08000015,"C70-C72, C75.1-C75.3","Malig brain ca (incl pit. gland, cranio. duct, pineal gland)",Female, ,2016-2020,0,2,2,1,0,2,5,1,1,3,11,7,5,12,6,10,10,3,81,0,4.108041491,4.101722724,2.086288909,0,3.890445067,9.568828584,1.914608463,1.844167819,4.387889425,14.37701768,9.488309048,7.434833683,18.90210286,10.25991792,23.1048266,31.51889558,9.859340082,8.418978248,6.685883971,10.46402126,7.571382975,5.997457187, ,9.325932754, ,4.947867941,3.686034605, ,6.392589023, ,107.1172461,85.06655529,133.1369564
22,S08000015,"D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5","Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,d,2016-2020,1,1,1,2,2,5,5,11,8,16,10,21,17,32,30,22,22,16,222,1.122788107,1.004026145,1.008949381,2.043151357,1.932535196,4.904605424,5.061702149,11.1773851,7.846060297,12.447003,6.922523121,14.82485493,13.18565401,26.21210508,27.11153686,27.85374253,39.78156305,33.94865266,12.01305202,10.48466555,13.70158095,10.96063952,9.546485767, ,12.47104058, ,6.604112178,5.584347558, ,7.708134526, ,101.168455,88.29707995,115.3884769
23,S08000015,"D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5","Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male, ,2016-2020,1,0,0,1,2,1,1,4,3,7,6,6,5,15,9,3,9,4,77,2.174243907,0,0,2.00176155,3.755798013,1.978748244,2.149243466,8.661195678,6.284433458,11.63273785,8.830671867,8.839258092,8.10674968,25.599017,17.24997125,8.402655239,38.17603393,23.94922764,8.69194178,6.859544526,10.86343588,8.306817467,6.536420024, ,10.28617452, ,5.250484835,3.946418341, ,6.73785792, ,93.83662483,74.05439688,117.2796808
24,S08000015,"D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5","Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Female, ,2016-2020,0,1,1,1,0,4,4,7,5,9,4,15,12,17,21,19,13,12,145,0,2.054020746,2.050861362,2.086288909,0,7.780890134,7.655062867,13.40225924,9.220839096,13.16366828,5.22800643,20.33209082,17.84360084,26.77797905,35.90971272,43.89917054,40.97456425,39.43736033,15.07101044,12.7178386,17.73336246,13.61446157,11.46277821, ,15.9484818, ,7.95773952,6.438060485, ,9.636028413, ,105.547829,89.06770114,124.1932594
25,S08000015,"C70-C72, C75.1-C75.3, D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5",All brain and CNS tumours (malignant and non-malignant),All,d,2016-2020,2,5,4,5,3,9,11,16,10,21,26,35,31,56,49,47,42,25,397,2.245576215,5.020130724,4.035797524,5.107878392,2.898802794,8.828289764,11.13574473,16.25801469,9.807575371,16.33669143,17.99856012,24.70809155,24.0444279,45.87118389,44.28217688,59.50572268,75.94662038,53.04476979,21.48280023,19.42129566,23.70356577,19.90022433,17.95832184, ,21.94038586, ,12.03906017,10.61384423, ,13.55275823, ,102.4151755,92.58734344,113.002254
26,S08000015,"C70-C72, C75.1-C75.3, D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5",All brain and CNS tumours (malignant and non-malignant),Male, ,2016-2020,2,2,1,3,3,3,2,8,4,9,11,13,14,27,22,18,19,10,171,4.348487813,3.928192639,1.985978988,6.00528465,5.63369702,5.936244732,4.298486933,17.32239136,8.379244611,14.95637723,16.18956509,19.15172587,22.6988991,46.0782306,42.16659639,50.41593143,80.59384942,59.87306909,19.30288369,16.51807967,22.42276546,18.61460412,15.88516689, ,21.55724765, ,11.17251288,9.207612555, ,13.32461358, ,97.91497625,83.78889935,113.7407541
27,S08000015,"C70-C72, C75.1-C75.3, D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5",All brain and CNS tumours (malignant and non-malignant),Female, ,2016-2020,0,3,3,2,0,6,9,8,6,12,15,22,17,29,27,29,23,15,226,0,6.162062237,6.152584085,4.172577819,0,11.6713352,17.22389145,15.3168677,11.06500692,17.5515577,19.60502411,29.82039986,25.27843452,45.68008191,46.16963064,67.00399714,72.49345983,49.29670041,23.48998869,20.52708627,26.76042748,21.18584454,18.48277393, ,24.07069914, ,12.90560746,10.89347242, ,15.08575067, ,106.1050038,92.72148209,120.8776767
28,S08000015,C50,Breast,All,d,2016-2020,0,0,0,0,2,6,22,45,67,94,204,207,249,243,186,170,118,131,1744,0,0,0,0,1.932535196,5.885526509,22.27148946,45.72566632,65.71075499,73.1261426,141.2194717,146.1307129,193.1310499,199.0481729,168.0915285,215.233465,213.3738382,277.9545937,94.37280505,89.99511535,98.90837936,79.95041531,76.20828604, ,83.7809753, ,44.91485517,42.56433775, ,47.32765494, ,96.9907455,92.49161689,101.6521385
29,S08000015,C50,Breast,Male, ,2016-2020,0,0,0,0,0,0,0,0,0,1,1,1,0,4,0,1,2,1,11,0,0,0,0,0,0,0,0,0,1.661819693,1.471778644,1.473209682,0,6.826404533,0,2.80088508,8.483563097,5.987306909,1.241705969,0.619855146,2.221754972,1.140610681, ,z, ,z,0.537381838, ,z, ,z,112.7400256,56.27941459,201.7230479
30,S08000015,C50,Breast,Female, ,2016-2020,0,0,0,0,2,6,22,45,67,93,203,206,249,239,186,169,116,130,1733,0,0,0,0,3.98089172,11.6713352,42.10284577,86.15738082,123.5592439,136.0245722,265.3213263,279.2273805,370.2547174,376.4668819,318.0574555,390.4715695,365.6191887,427.2380702,180.1245593,171.7429242,188.8094612,158.7602199,151.3062431, ,166.3909035, ,89.29232851,84.6042091, ,94.1050857, ,96.90482,92.39560234,101.5771915
31,S08000015,D05,Carcinoma in situ of the breast,All,d,2016-2020,0,0,0,0,0,0,2,3,0,6,43,30,24,34,21,10,7,1,181,0,0,0,0,0,0,2.02468086,3.048377755,0,4.667626123,29.76684942,21.17836418,18.61504095,27.85036165,18.9780758,12.66079206,12.65777006,2.121790791,9.794425295,8.419467909,11.32989925,8.157054525,7.007725256, ,9.392376862, ,4.828499399,4.112594161, ,5.601004325, ,102.7864007,88.35707825,118.9002447
32,S08000015,D05,Carcinoma in situ of the breast,Male, ,2016-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.706601133,0,0,4.241781548,0,0.225764722,0.027341155,0.8155398,0.199907601, ,z, ,z,0.072406942, ,z, ,z,342.756666,41.50942239,1238.154929
33,S08000015,D05,Carcinoma in situ of the breast,Female, ,2016-2020,0,0,0,0,0,0,2,3,0,6,43,30,24,33,21,10,6,1,179,0,0,0,0,0,0,3.827531434,5.743825388,0,8.77577885,56.20106913,40.66418163,35.68720168,51.98078286,35.90971272,23.1048266,18.91133735,3.286446694,18.60490255,15.97912503,21.53903569,16.11420145,13.83163698, ,18.56852809, ,9.584591856,8.156877267, ,11.12575387, ,101.9885896,87.59456927,118.0729577
34,S08000015,C18-C20,Colorectal cancer,All,d,2016-2020,0,0,0,2,0,3,3,12,18,43,74,94,152,221,221,240,191,165,1439,0,0,0,2.043151357,0,2.942763255,3.03702129,12.19351102,17.65363567,33.45132055,51.2266711,66.35887444,117.8952594,181.0273507,199.7216549,303.8590094,345.3762974,350.0954806,77.86838673,73.89661543,81.99816983,70.57615197,66.91509771, ,74.33333942, ,30.58283151,28.80495348, ,32.41319749, ,96.69140132,91.75953938,101.819471
35,S08000015,C18-C20,Colorectal cancer,Male, ,2016-2020,0,0,0,2,0,2,1,4,10,17,31,49,88,131,124,131,115,68,773,0,0,0,4.0035231,0,3.957496488,2.149243466,8.661195678,20.94811153,28.25093477,45.62513798,72.18727441,142.6787944,223.5647484,237.6662706,366.9159454,487.804878,407.1368698,87.25806488,81.21441209,93.63239185,82.36504634,76.5631247, ,88.37585723, ,34.75752163,32.05705974, ,37.56563173, ,96.05461636,89.40169837,103.071544
36,S08000015,C18-C20,Colorectal cancer,Female, ,2016-2020,0,0,0,0,0,1,2,8,8,26,43,45,64,90,97,109,76,97,666,0,0,0,0,0,1.945222533,3.827531434,15.3168677,14.75334255,38.02837502,56.20106913,60.99627245,95.16587114,141.7657714,165.8686731,251.8426099,239.5436064,318.7853293,69.22271004,64.06457553,74.6855976,58.78725761,54.38413626, ,63.35933364, ,26.40814139,24.12834832, ,28.7893775, ,97.44116133,90.18032718,105.1309803
37,S08000015,C18,Colon,All,d,2016-2020,0,0,0,2,0,2,2,5,9,26,43,56,99,161,160,185,150,120,1020,0,0,0,2.043151357,0,1.96184217,2.02468086,5.080629592,8.826817834,20.22637987,29.76684942,39.53294648,76.78704393,131.8796537,144.5948633,234.2246531,271.2379299,254.614895,55.19510387,51.8593845,58.68909531,49.51634694,46.4763625, ,52.65127271, ,20.6073491,19.1848582, ,22.07999078, ,98.12523123,92.19502706,104.3368097
38,S08000015,C18,Colon,Male, ,2016-2020,0,0,0,2,0,1,1,3,6,9,17,28,51,82,86,97,86,45,514,0,0,0,4.0035231,0,1.978748244,2.149243466,6.495896759,12.56886692,14.95637723,25.02023696,41.24987109,82.68884673,139.9412929,164.8330586,271.6858527,364.7932131,269.4288109,58.02153344,53.11331192,63.26131895,54.84046952,50.12850086, ,59.76106544, ,22.28026917,20.14948499, ,24.51661044, ,97.58162358,89.32689131,106.3939859
39,S08000015,C18,Colon,Female, ,2016-2020,0,0,0,0,0,1,1,2,3,17,26,28,48,79,74,88,64,75,506,0,0,0,0,0,1.945222533,1.913765717,3.829216925,5.532503458,24.86470674,33.9820418,37.95323619,71.37440335,124.4388438,126.5389877,203.3224741,201.7209317,246.483502,52.59262955,48.10940517,57.38118099,44.19222436,40.41205906, ,48.1389816, ,18.93442902,17.08095569, ,20.88199975, ,98.6836698,90.27144478,107.6688039
40,S08000015,C19-C20,Rectum and rectosigmoid junction,All,d,2016-2020,0,0,0,0,0,1,1,7,9,17,31,38,53,60,61,55,41,45,419,0,0,0,0,0,0.980921085,1.01234043,7.112881428,8.826817834,13.22494068,21.45982168,26.82592797,41.10821544,49.14769702,55.12679162,69.63435633,74.13836751,95.48058561,22.67328286,20.55400327,24.95175367,21.05980503,19.05417179, ,23.16435657, ,9.975482414,8.927641524, ,11.08062776, ,93.37008053,84.64274678,102.7529742
41,S08000015,C19-C20,Rectum and rectosigmoid junction,Male, ,2016-2020,0,0,0,0,0,1,0,1,4,8,14,21,37,49,38,34,29,23,259,0,0,0,0,0,1.978748244,0,2.16529892,8.379244611,13.29455754,20.60490102,30.93740332,59.98994763,83.62345553,72.83321194,95.23009271,123.0116649,137.7080589,29.23653144,25.78401669,33.0225724,27.52457681,24.2115946, ,31.04690987, ,12.47725246,10.85485973, ,14.21099097, ,93.16145491,82.16010552,105.225577
42,S08000015,C19-C20,Rectum and rectosigmoid junction,Female, ,2016-2020,0,0,0,0,0,0,1,6,5,9,17,17,16,11,23,21,12,22,160,0,0,0,0,0,0,1.913765717,11.48765078,9.220839096,13.16366828,22.21902733,23.04303626,23.79146778,17.32692762,39.32968536,48.52013586,37.82267469,72.30182726,16.63008049,14.15308226,19.41586306,14.59503324,12.40126316, ,16.96483342, ,7.473712364,6.185787168, ,8.88162443, ,93.70978095,79.75200355,109.4075447
43,S08000015,C53,Cervix uteri,Female, ,2016-2020,0,0,0,0,0,8,18,17,15,18,11,10,11,7,6,3,3,1,128,0,0,0,0,0,15.56178027,34.4477829,32.54834386,27.66251729,26.32733655,14.37701768,13.55472721,16.3566341,11.02622667,10.25991792,6.931447979,9.455668673,3.286446694,13.30406439,11.09926223,15.81857605,13.81157677,11.48969201, ,16.34396651, ,11.08841681,9.112923125, ,13.25482397, ,118.8049362,99.11611235,141.2594575
44,S08000015,D06,Carcinoma in situ of the cervix uteri,Female, ,2016-2020,0,0,0,0,35,177,186,101,62,43,18,19,11,0,0,1,0,0,653,0,0,0,0,69.6656051,344.3043884,355.9604233,193.3754547,114.3384048,62.89308176,23.52602894,25.7539817,16.3566341,0,0,2.31048266,0,0,67.871516,62.7649506,73.2828731,78.31276121,72.39331015, ,84.46152017, ,79.59547226,73.45174583, ,85.98243755, ,110.4462593,102.136425,119.2520762
45,S08000015,C54,Corpus uteri,Female, ,2016-2020,0,0,0,0,0,0,0,7,4,9,15,60,47,62,72,50,24,16,366,0,0,0,0,0,0,0,13.40225924,7.376671277,13.16366828,19.60502411,81.32836327,69.88743662,97.66086477,123.119015,115.524133,75.64534939,52.5831471,38.04130912,34.24337619,42.14535357,32.53381155,29.27033451, ,35.96728523, ,16.25402918,14.47017199, ,18.14007494, ,117.4655616,105.7381438,130.1382035
46,S08000015,C56,Ovary,Female, ,2016-2020,0,0,1,0,1,4,0,4,5,11,14,23,27,23,40,26,14,15,208,0,0,2.050861362,0,1.99044586,7.780890134,0,7.65843385,9.220839096,16.08892789,18.29802251,31.17587259,40.14810189,36.22903048,68.3994528,60.07254916,44.12645381,49.29670041,21.61910464,18.78073803,24.76528863,18.86883632,16.37379692, ,21.5382229, ,10.23493779,8.663533899, ,11.93537444, ,93.42763514,81.16154532,107.0239674
47,S08000015,C53-C55,Uterus,Female, ,2016-2020,0,0,0,0,0,8,18,24,19,27,26,70,59,72,78,54,31,22,508,0,0,0,0,0,15.56178027,34.4477829,45.9506031,35.03918857,39.49100483,33.9820418,94.88309048,87.73103746,113.4126172,133.378933,124.7660636,97.70857629,72.30182726,52.80050555,48.30823237,57.598097,47.5138319,43.42288946, ,51.78629841, ,27.71199422,25.00366307, ,30.5575879, ,116.6227085,106.7004349,127.2193516
48,S08000015,C52,Vagina,Female, ,2016-2020,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,6,2,0,15,0,0,0,0,0,0,0,1.914608463,0,0,0,2.710945442,1.486966737,1.575175238,3.41997264,13.86289596,6.303779116,0,1.559070046,0.87259967,2.571448945,1.369195637, ,z, ,z,0.56859556, ,z, ,z,152.1019288,85.13029492,250.8690006
49,S08000015,C51,Vulva,Female, ,2016-2020,0,0,0,0,0,0,0,4,2,5,4,6,11,3,8,2,6,9,60,0,0,0,0,0,0,0,7.65843385,3.688335639,7.313149042,5.22800643,8.132836327,16.3566341,4.725525715,13.67989056,4.62096532,18.91133735,29.57802024,6.236280184,4.758938767,8.027328773,5.520011257,4.196814783, ,7.021747444, ,3.064594274,2.232142149, ,4.026928744, ,124.3438497,94.88745683,160.0551824
50,S08000015,"C00-C14, C30-C32",Head and neck,All,d,2016-2020,0,0,0,0,0,3,2,6,11,18,47,75,75,75,67,52,33,29,493,0,0,0,0,0,2.942763255,2.02468086,6.09675551,10.78833291,14.00287837,32.53585867,52.94591046,58.17200298,61.43462128,60.54909899,65.83611871,59.67234458,61.53193295,26.67763354,24.37440103,29.13985778,24.49129361,22.35292485, ,26.72594351, ,12.92856847,11.69765464, ,14.22017454, ,101.1444706,92.41209061,110.4796452
