_id,Country,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,IncidencesAgeUnder5,IncidencesAge5To9,IncidencesAge10To14,IncidencesAge15To19,IncidencesAge20To24,IncidencesAge25To29,IncidencesAge30To34,IncidencesAge35To39,IncidencesAge40To44,IncidencesAge45To49,IncidencesAge50To54,IncidencesAge55To59,IncidencesAge60To64,IncidencesAge65To69,IncidencesAge70To74,IncidencesAge75To79,IncidencesAge80To84,IncidencesAge85To89,IncidencesAge90AndOver,IncidencesAllAges,IncidenceRateAgeUnder5,IncidenceRateAge5To9,IncidenceRateAge10To14,IncidenceRateAge15To19,IncidenceRateAge20To24,IncidenceRateAge25To29,IncidenceRateAge30To34,IncidenceRateAge35To39,IncidenceRateAge40To44,IncidenceRateAge45To49,IncidenceRateAge50To54,IncidenceRateAge55To59,IncidenceRateAge60To64,IncidenceRateAge65To69,IncidenceRateAge70To74,IncidenceRateAge75To79,IncidenceRateAge80To84,IncidenceRateAge85To89,IncidenceRateAge90AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedIncidenceRatio,StandardisedIncidenceRatioQF
11,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2006,51,21,26,60,113,155,266,447,705,1107,1622,2449,3086,3857,4262,4065,3233,1737,816,28078,19.03787791,7.415882702,8.376396603,18.45892581,33.38977091,49.65513706,82.67211184,115.6562912,172.9318697,292.305783,481.901938,707.031047,1099.99002,1578.60917,2003.064284,2410.788948,2735.657472,2747.244057,2662.490211,547.0095461,540.6297873,553.4458049,640.4020095,632.6283809, ,648.222451, ,292.0397355,288.3152632, ,295.7877799, ,100, 
12,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2007,54,31,21,67,101,175,287,446,747,1156,1713,2408,3464,4043,4122,4245,3168,1862,820,28930,19.68597229,11.19004303,6.842463678,20.34798084,29.56856247,53.59319397,92.11028843,117.4364106,182.5825532,298.6717375,496.4670558,723.0753524,1144.21238,1646.212855,1927.339038,2473.704146,2679.047112,2784.923721,2747.160709,559.5744681,553.1447078,566.0603225,646.5258179,638.8060233, ,654.2913375, ,297.5748357,293.8384276, ,301.3345236, ,100, 
13,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2008,61,38,31,59,115,203,259,487,834,1184,1721,2445,3653,4046,4402,4273,3222,2036,764,29833,21.62537756,13.95940019,10.20448471,17.92621085,33.17132267,60.33048027,84.4950037,131.6664594,204.5230493,299.5883191,487.9141316,746.1547852,1159.789314,1622.27399,2029.534756,2462.143038,2702.657361,2926.927445,2622.185612,573.3917623,566.9034311,579.9358311,655.6725409,647.9648761, ,663.4251471, ,303.4254581,299.6686991, ,307.2052952, ,100, 
14,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2009,51,23,32,67,118,205,245,420,802,1207,1824,2562,3762,4229,4557,4330,3302,2096,807,30639,17.73876023,8.5316636,10.66172673,20.16122965,33.83988001,60.29872873,79.17195826,117.4756168,198.5015853,300.5433186,505.0868672,785.7570042,1163.581927,1664.914746,2074.579234,2477.414335,2732.584121,2902.243146,2775.866813,585.6189912,579.0797998,592.2136099,663.6526165,655.9603629, ,671.3890901, ,306.1285026,302.3968335, ,309.8827396, ,100, 
15,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2010,44,18,32,56,133,208,290,427,812,1222,1831,2515,3805,4144,4579,4196,3424,2011,878,30625,15.12443283,6.676607393,10.82174223,16.8763147,37.60004297,60.65890738,91.91292993,123.0849055,204.6711399,299.1754314,496.0661494,768.4786262,1148.457355,1612.558029,2071.083531,2369.282891,2780.665281,2813.335012,2707.369719,581.9809205,575.4808718,588.5360774,652.4886953,644.9713114, ,660.0490326, ,301.9630119,298.2798014, ,305.6685112, ,100, 
16,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2011,52,31,33,61,119,211,256,385,798,1252,1845,2498,3845,4314,4661,4454,3562,2025,938,31340,17.71201624,11.44333702,11.36888234,18.66408021,32.55101483,60.92120953,79.06456734,114.5489005,202.7109413,304.7941787,488.9787632,752.5819163,1142.770528,1631.53854,2115.107979,2486.26803,2840.600976,2817.391304,2667.121613,591.3319119,584.8029887,597.9155501,658.8994282,651.4254401, ,666.4154584, ,303.2449792,299.5765535, ,306.9354206, ,100, 
17,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2012,54,32,32,58,108,199,279,406,743,1249,1952,2589,3730,4644,4555,4382,3526,2162,984,31684,18.25619527,11.61115687,11.36452422,18.18546668,29.08409342,57.29388597,83.79963777,126.091264,192.7512057,304.4366338,507.3991375,763.0505517,1156.148198,1625.225288,2056.034269,2426.370024,2741.259611,2989.408479,2666.305379,596.2812406,589.733411,602.8836435,654.3114698,646.9431293, ,661.7209571, ,302.4660081,298.8160361, ,306.1378307, ,100, 
18,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2013,57,23,30,65,96,215,312,387,745,1292,1950,2700,3596,4829,4650,4515,3583,2296,997,32338,19.38491989,8.135919377,10.90385706,20.73371845,25.92653608,61.06653412,91.57374768,123.2052466,199.0509677,316.8087647,496.8963092,779.3962277,1133.280178,1623.837354,2067.401743,2459.914026,2749.280645,3143.569101,2645.263996,606.9786212,600.3808829,613.6307872,659.3526182,652.0175569, ,666.7281409, ,304.3138875,300.6681035, ,307.9813387, ,100, 
19,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2014,59,43,26,65,128,215,298,406,768,1316,1954,2646,3517,4899,4846,4700,3710,2249,1085,32930,20.21537945,14.89327067,9.562374264,21.08534374,34.73154954,60.13010477,86.70806152,128.9064856,212.8084059,326.0024079,490.1727144,746.081381,1113.64428,1603.196576,2110.305485,2521.269862,2801.205047,3005.519251,2743.22411,615.7902611,609.1570197,622.4777268,659.8926414,652.637302, ,667.1875325, ,305.0863662,301.4397019, ,308.7546529, ,100, 
20,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2015,65,33,31,68,126,216,347,478,671,1241,1980,2612,3610,4916,4718,4585,3647,2310,1090,32744,22.32342173,11.28760826,11.39111199,22.36967199,34.26986156,59.35924987,99.74130497,149.3110762,191.8101908,313.5279346,488.5354546,719.9162119,1138.808447,1570.832867,2030.767112,2444.433782,2714.733402,3038.993843,2739.037568,609.4174577,602.8342951,616.0545886,647.8389048,640.7015323, ,655.0152659, ,300.9890773,297.3692786, ,304.6304718, ,100, 
21,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2016,64,40,38,50,120,207,356,460,720,1210,2126,2626,3523,4889,4820,4519,3635,2293,1051,32747,22.2811745,13.3841037,13.84950688,16.74144512,32.97002201,55.32924913,101.1613666,140.3495925,213.2461394,308.4759503,522.7556056,708.1583837,1095.623725,1539.726131,2016.576088,2418.569303,2664.604378,2940.572982,2559.232474,605.8985698,599.3537186,612.4970727,639.0245738,631.9967266, ,646.0907433, ,298.1761363,294.5856069, ,301.7881142, ,100, 
22,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2017,57,34,43,66,99,170,346,411,622,1140,2056,2834,3507,4850,5140,4658,3656,2292,1100,33081,20.20517111,11.26010512,15.35182455,22.755482,27.76149789,44.47374479,97.44282978,121.2199863,191.3651845,296.0500688,505.0988947,747.9822427,1065.921808,1589.819908,1980.503217,2474.211471,2651.331105,2861.744765,2636.309167,609.8104999,603.256641,616.4178113,636.3011846,629.3489337, ,643.2910968, ,294.2667529,290.7329895, ,297.8215677, ,100, 
23,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2018,46,39,33,55,104,216,337,517,700,1224,2059,2946,3850,4946,5577,4928,3921,2261,1042,34801,16.61477559,12.95298068,11.46669446,19.32781378,29.66140367,56.4942198,93.2851314,148.5644991,220.4571652,327.0217774,508.7882734,761.9096881,1144.790756,1646.400122,2058.199398,2578.727591,2795.562463,2775.970239,2485.27202,639.9477759,633.2416888,646.7071822,659.0364124,652.0278722, ,666.0819006, ,307.5358017,303.9279179, ,311.1646795, ,100, 
24,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2019,54,34,27,69,96,181,331,467,655,1121,2097,2737,3690,4626,5276,4673,3671,2273,1078,33156,19.87376479,11.35923238,9.162667897,24.47172983,27.62939768,47.35059057,89.58948528,132.4740016,205.0514664,310.1328508,522.8253011,696.2197582,1070.517823,1544.863146,1892.015951,2384.779868,2570.602281,2724.472306,2469.192359,606.8859481,600.3708818,613.45409,617.7456455,611.0261402, ,624.5013885, ,289.2437414,285.7434417, ,292.7650554, ,100, 
25,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2020,48,41,26,46,98,178,309,494,597,1007,1766,2519,3300,4174,4845,4356,3468,2115,1008,30395,18.19518889,13.76286912,8.722461344,16.30511839,28.67551316,47.18931931,82.60508088,138.8943559,184.0513494,287.7767744,449.2346984,630.7844866,935.9869983,1389.32807,1695.063499,2197.669139,2420.165252,2501.123436,2304.052664,556.0739115,549.8398252,562.3610516,561.3890111,555.0113588, ,567.8025935, ,261.8613342,258.5325212, ,265.2111466, ,100, 
26,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1996,35,8,15,37,57,98,119,167,196,429,656,1061,1517,2173,2514,2018,1454,651,205,13410,22.08048653,4.828760095,9.230371615,23.52088591,33.63625634,50.70469174,59.94539428,89.23848049,116.554275,243.1063208,448.7280339,805.7901452,1243.564941,2003.651385,2814.410138,3481.771597,4185.256613,4325.581395,4432.432432,548.0135021,538.7770332,557.3685953,805.983644,791.3741843, ,820.7248732, ,341.6639344,335.6578197, ,347.7225711, ,100, 
27,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1997,31,22,26,23,60,78,110,157,170,364,635,968,1414,2093,2244,2051,1323,638,202,12609,20.01316996,13.26044109,15.92376193,14.42594161,37.47096001,41.9061946,55.63704416,82.54555779,99.08780929,215.6474756,403.7026206,732.9835003,1159.082898,1921.24105,2536.453035,3349.391688,3901.734104,4104.741684,4176.142237,516.2709913,507.2985752,525.3622706,752.3784747,738.3694134, ,766.5173621, ,317.8294496,312.0540882, ,323.6570322, ,100, 
28,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1998,31,13,23,30,49,80,118,144,187,336,640,993,1437,2030,2295,2073,1205,605,196,12485,20.4057452,7.926635936,13.91030875,18.60557423,31.94659052,44.92211628,60.34138908,74.82812914,107.1001071,202.6415777,391.3248179,742.6797801,1162.546114,1860.43954,2585.129031,3238.910676,3709.290156,3742.422368,3768.506057,511.8920078,502.9518177,520.9512252,731.8092185,718.2190377, ,745.5250087, ,311.9824096,306.2836696, ,317.7329497, ,100, 
29,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1999,36,17,20,25,35,84,114,143,187,300,641,980,1494,1948,2280,2075,1148,709,192,12428,24.176326,10.44514761,12.02993047,15.56381475,22.94690741,49.71620334,59.17129051,73.67336425,105.0095744,182.0476722,382.5449684,719.1129961,1198.171465,1788.107433,2557.774288,3110.804611,3637.861647,4302.445537,3475.742216,510.0686015,501.139941,519.1164101,723.0762532,709.6732768, ,736.6028756, ,307.8254446,302.1794828, ,313.5229401, ,100, 
30,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2000,27,22,12,24,53,85,119,147,216,343,649,962,1499,1867,2292,2086,1273,660,206,12542,18.56231438,13.7342914,7.243052705,14.92880825,34.42005455,53.01763928,63.58773772,75.25841282,118.8936287,208.0187278,378.2514177,698.2550881,1196.042448,1706.456566,2556.437941,3168.719904,3712.019595,3953.042645,3465.679677,515.7229291,506.7362336,524.8289968,719.23983,706.0507167, ,732.5493016, ,306.9165671,301.297915, ,312.5864058, ,100, 
31,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2001,29,16,22,27,57,73,99,139,217,328,678,1052,1475,2031,2300,2052,1301,637,229,12762,20.45537906,10.23312334,13.27388243,16.75634414,36.14251565,47.67471477,53.7511809,71.3955519,117.5782139,196.1429212,389.7940646,740.9546482,1183.579143,1842.093329,2548.758865,3099.97885,3518.783977,3818.715904,3596.670331,524.3796259,515.3208448,533.5576875,719.1499388,706.1232479, ,732.2940432, ,309.3077487,303.6801975, ,314.986249, ,100, 
32,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2002,30,22,25,34,42,74,116,155,236,338,621,1052,1593,2067,2291,2177,1434,612,244,13163,21.72889581,14.29118948,15.12786068,21.02490214,25.99218997,50.1039318,65.17403152,79.90514486,125.2673875,197.9536976,371.9030537,686.8903195,1272.943752,1865.405615,2508.458245,3284.352182,3633.875627,3685.636856,3751.537515,540.4340141,531.2405901,549.7466201,730.9806143,717.9466989, ,744.1301547, ,314.129712,308.4752583, ,319.8348085, ,100, 
33,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2003,35,30,24,42,46,64,109,131,218,370,606,1079,1552,2036,2407,2126,1487,682,250,13294,25.82111134,19.77782905,14.70831571,25.74807349,28.01256912,44.42624203,63.1550892,67.91365116,113.9881201,212.9839629,369.4063287,676.1880292,1224.979478,1810.131759,2610.062893,3174.129205,3608.697762,4268.636164,3750.937734,545.2633375,536.0333818,554.6123535,732.7887055,719.7618425, ,745.9307802, ,313.3831746,307.7474583, ,319.0693181, ,100, 
34,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2004,23,23,22,20,43,52,93,140,224,368,709,1152,1612,2156,2313,2142,1576,664,279,13611,17.0544705,15.34765781,13.54804939,12.22292164,26.17211513,35.73391974,55.98194131,73.12270512,115.5556473,207.5987928,434.5241378,702.4090435,1243.088597,1891.327614,2490.685504,3157.289625,3652.036891,4181.623528,4121.1226,556.3223784,547.0150691,565.7483296,738.95081,725.9349699, ,752.0806985, ,314.7391455,309.1669823, ,320.3603857, ,100, 
35,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2005,32,12,22,34,67,67,96,172,266,325,613,1205,1555,2042,2308,2145,1493,643,239,13336,23.57100766,8.10476763,13.68482602,20.7627248,40.31505918,44.61194268,59.5470701,91.47281875,135.0562311,179.1344225,374.7951772,715.7622125,1182.383625,1778.745645,2453.909456,3114.835037,3471.770068,3620.495495,3403.104087,541.8332132,532.6757143,551.1086503,704.8373841,692.401501, ,717.382419, ,304.8538773,299.3782287, ,310.3784607, ,100, 
36,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2006,27,10,13,25,53,73,90,135,213,364,631,1180,1656,2062,2406,2208,1561,780,278,13765,19.6768622,6.890706504,8.210180624,15.15904874,31.62517603,47.06853307,57.64833236,72.43693962,107.7531694,196.8748817,380.7765186,691.5142991,1219.521176,1805.351264,2527.788868,3154.916698,3578.797744,4001.436413,3918.804624,556.147235,546.8948334,565.5169123,722.8454762,710.2916001, ,735.5077991, ,307.0684789,301.6491698, ,312.5353678, ,100, 
37,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2007,27,15,11,31,44,65,98,130,230,383,660,1176,1807,2129,2275,2278,1552,794,266,13971,19.1867654,10.58118947,6.999147377,18.56476408,26.00380601,40.17628116,64.32936636,71.1113056,115.9040516,202.4366394,389.0683581,717.2393603,1227.364732,1847.833634,2365.553384,3178.944724,3500.146591,3792.872838,3797.829812,559.6102475,550.3688417,568.9679169,715.2997635,702.9672934, ,727.7379864, ,306.4269878,301.0625004, ,311.8381915, ,100, 
38,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2008,32,19,12,26,55,90,82,168,272,395,665,1169,1891,2197,2459,2215,1620,861,259,14487,22.11594283,13.65629268,7.695612859,15.63091796,31.93163147,54.06347051,54.53106608,94.04072859,137.470939,204.6303443,384.3730673,725.3300903,1229.646777,1874.477416,2508.10877,3030.261574,3574.738514,3902.99184,3754.167271,575.9556124,566.6145117,585.4121045,725.3725684,713.0823447, ,737.7663477, ,313.7671416,308.3602239, ,319.2204009, ,100, 
39,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2009,30,10,17,40,56,83,97,147,234,378,709,1235,1962,2317,2541,2346,1593,881,277,14953,20.37960409,7.251368696,11.02535832,23.78404091,32.32584451,49.52917447,63.69343104,84.81519519,119.187083,193.0107637,401.0135632,770.7670224,1242.031564,1931.622079,2545.939122,3159.893862,3430.010981,3763.67054,3934.659091,590.568052,581.1397903,600.1109403,734.3511577,722.1086734, ,746.6951245, ,317.6894124,312.3018266, ,323.1224349, ,100, 
40,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2010,23,12,14,30,56,85,107,135,254,405,706,1208,1926,2197,2500,2218,1683,904,296,14759,15.50408499,8.707198677,9.206528744,17.83548548,31.8364516,50.44270895,68.73426178,80.06832497,132.0152597,203.4552223,390.6595839,753.0561738,1186.896076,1802.637085,2479.322451,2919.304526,3531.633617,3796.405174,3665.634675,579.1890647,569.8821355,588.6098916,710.5187988,698.6897337, ,722.4457849, ,307.267998,302.0159244, ,312.5647187, ,100, 
41,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2011,31,19,17,30,56,77,94,135,256,419,688,1215,1945,2340,2606,2439,1801,892,326,15386,20.70172158,13.70920609,11.42734227,18.03198875,30.75317829,45.18991502,58.88101025,82.0823377,134.1205933,209.2823464,372.5019897,746.497911,1181.451515,1851.046157,2588.8103,3151.651419,3661.908828,3662.191567,3601.414052,598.6071665,589.1854641,608.1417817,726.8706158,715.0878487, ,738.7483324, ,312.7492383,307.4878898, ,318.0546006, ,100, 
42,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2012,33,13,15,28,48,74,112,135,226,395,775,1216,1910,2552,2476,2296,1721,933,383,15341,21.85618629,9.210973812,10.41175001,17.17138266,25.98161801,43.30296274,68.58206579,85.36361739,121.3774732,197.9562892,411.6953348,731.6089983,1210.492626,1858.026938,2436.31247,2928.309972,3380.209765,3758.156771,3890.694839,595.2376333,585.8552886,604.732585,709.9870749,698.4779001, ,721.5889951, ,307.864837,302.6733147, ,313.0998934, ,100, 
43,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2013,26,12,17,30,43,93,96,127,258,436,736,1255,1880,2681,2551,2346,1811,1053,390,15841,17.31036824,8.296976444,12.08828716,18.67088214,23.31432041,53.46025833,57.48158793,82.33814396,142.2710429,220.1497624,383.6110518,741.0031589,1212.848452,1866.991643,2467.308883,2924.093232,3465.630741,4133.788717,3780.535091,612.4066371,602.9066379,622.0188297,719.7450609,708.2889609, ,731.2917937, ,311.3711213,306.1879035, ,316.5972405, ,100, 
44,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2014,35,28,11,43,59,91,107,142,250,452,735,1217,1873,2760,2746,2498,1828,1010,395,16280,23.4367676,19.00534186,7.911449306,27.20485891,32.15661909,51.43073523,63.73258522,91.74726858,142.6289366,230.7794422,378.0494705,703.2852726,1215.341989,1869.437408,2586.003936,3047.753837,3409.048525,3799.992475,3595.157914,626.9906375,617.3959326,636.6971061,723.1718959,711.8579787, ,734.5737793, ,315.9676629,310.7310579, ,321.2474191, ,100, 
45,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2015,29,17,21,33,58,81,119,142,195,454,702,1215,1907,2683,2619,2454,1855,990,412,15986,19.42606039,11.4175185,15.0906517,21.18548858,31.6661298,44.80261957,70,90.17876989,114.5980254,236.9952758,355.944063,686.1654365,1236.328745,1771.109072,2426.752655,2967.244235,3371.501272,3649.635036,3606.758295,612.3803807,602.9238035,621.9481275,699.8912281,688.8486931, ,711.020353, ,304.6414484,299.5417132, ,309.7836338, ,100, 
46,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2016,34,27,18,18,56,83,132,163,233,414,801,1221,1791,2692,2711,2400,1830,1064,407,16095,23.04662875,17.72909936,12.82224803,11.79446184,30.8220686,44.58793762,76.60833986,101.0739886,141.2729114,218.5596182,405.7154724,675.5672607,1145.096735,1754.123036,2423.370192,2908.56208,3256.169819,3761.445187,3386.868603,612.5587678,603.1313979,622.0965855,691.9490779,681.0931182, ,702.8896829, ,302.8564086,297.7848954, ,307.9701509, ,100, 
47,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2017,29,16,23,37,46,76,120,131,185,399,731,1360,1814,2603,2883,2540,1863,1067,442,16365,19.98401279,10.38125146,16.03010873,24.95380175,25.67867051,39.92099845,68.77184939,78.80836933,116.0070984,215.1407312,370.3553588,736.7001251,1134.189498,1766.266548,2356.296944,3037.877791,3266.47263,3621.614283,3567.969002,619.81593,610.3555888,629.3861814,690.929461,680.1951536, ,701.7466431, ,299.3035181,294.3181857, ,304.3301393, ,100, 
